  0.089665   0.037473   3.000023	  0.190606   0.047309   2.999990	  0.190606   0.047309   2.749990	  0.089665   0.037473   2.750021	
  0.190606   0.047309   2.999990	  0.292015   0.049985   3.000004	  0.292015   0.049985   2.750003	  0.190606   0.047309   2.749990	
  0.292015   0.049985   3.000004	  0.393453   0.048553   2.999997	  0.393453   0.048553   2.749997	  0.292015   0.049985   2.750003	
  0.393453   0.048553   2.999997	  0.494812   0.044270   2.999994	  0.494812   0.044270   2.749994	  0.393453   0.048553   2.749997	
  0.494812   0.044270   2.999994	  0.596088   0.038293   3.000003	  0.596088   0.038293   2.750002	  0.494812   0.044270   2.749994	
  0.596088   0.038293   3.000003	  0.697232   0.030727   2.999929	  0.697232   0.030727   2.749934	  0.596088   0.038293   2.750002	
  0.697232   0.030727   2.999929	  0.798332   0.021997   3.000178	  0.798332   0.021997   2.750163	  0.697232   0.030727   2.749934	
  0.798332   0.021997   3.000178	  0.899362   0.012671   2.999931	  0.899362   0.012671   2.749936	  0.798332   0.021997   2.750163	
  0.899362   0.012671   2.999931	  1.000000   0.000000   3.000000	  1.000000   0.000000   2.750000	  0.899362   0.012671   2.749936	
  0.000000   0.000000   2.750000	  0.089665   0.037473   2.750021	  0.089665   0.037473   2.500019	  0.000000   0.000000   2.500000	
  0.089665   0.037473   2.750021	  0.190606   0.047309   2.749990	  0.190606   0.047309   2.499991	  0.089665   0.037473   2.500019	
  0.190606   0.047309   2.749990	  0.292015   0.049985   2.750003	  0.292015   0.049985   2.500003	  0.190606   0.047309   2.499991	
  0.292015   0.049985   2.750003	  0.393453   0.048553   2.749997	  0.393453   0.048553   2.499997	  0.292015   0.049985   2.500003	
  0.393453   0.048553   2.749997	  0.494812   0.044270   2.749994	  0.494812   0.044270   2.499995	  0.393453   0.048553   2.499997	
  0.494812   0.044270   2.749994	  0.596088   0.038293   2.750002	  0.596088   0.038293   2.500002	  0.494812   0.044270   2.499995	
  0.596088   0.038293   2.750002	  0.697232   0.030727   2.749934	  0.697232   0.030727   2.499941	  0.596088   0.038293   2.500002	
  0.697232   0.030727   2.749934	  0.798332   0.021997   2.750163	  0.798332   0.021997   2.500148	  0.697232   0.030727   2.499941	
  0.798332   0.021997   2.750163	  0.899362   0.012671   2.749936	  0.899362   0.012671   2.499942	  0.798332   0.021997   2.500148	
  0.899362   0.012671   2.749936	  1.000000   0.000000   2.750000	  1.000000   0.000000   2.500000	  0.899362   0.012671   2.499942	
  0.000000   0.000000   2.500000	  0.089665   0.037473   2.500019	  0.089665   0.037473   2.250017	  0.000000   0.000000   2.250000	
  0.089665   0.037473   2.500019	  0.190606   0.047309   2.499991	  0.190606   0.047309   2.249992	  0.089665   0.037473   2.250017	
  0.190606   0.047309   2.499991	  0.292015   0.049985   2.500003	  0.292015   0.049985   2.250003	  0.190606   0.047309   2.249992	
  0.292015   0.049985   2.500003	  0.393453   0.048553   2.499997	  0.393453   0.048553   2.249998	  0.292015   0.049985   2.250003	
  0.393453   0.048553   2.499997	  0.494812   0.044270   2.499995	  0.494812   0.044270   2.249995	  0.393453   0.048553   2.249998	
  0.494812   0.044270   2.499995	  0.596088   0.038293   2.500002	  0.596088   0.038293   2.250002	  0.494812   0.044270   2.249995	
  0.596088   0.038293   2.500002	  0.697232   0.030727   2.499941	  0.697232   0.030727   2.249947	  0.596088   0.038293   2.250002	
  0.697232   0.030727   2.499941	  0.798332   0.021997   2.500148	  0.798332   0.021997   2.250134	  0.697232   0.030727   2.249947	
  0.798332   0.021997   2.500148	  0.899362   0.012671   2.499942	  0.899362   0.012671   2.249948	  0.798332   0.021997   2.250134	
  0.899362   0.012671   2.499942	  1.000000   0.000000   2.500000	  1.000000   0.000000   2.250000	  0.899362   0.012671   2.249948	
  0.000000   0.000000   2.250000	  0.089665   0.037473   2.250017	  0.089665   0.037473   2.000015	  0.000000   0.000000   2.000000	
  0.089665   0.037473   2.250017	  0.190606   0.047309   2.249992	  0.190606   0.047309   1.999993	  0.089665   0.037473   2.000015	
  0.190606   0.047309   2.249992	  0.292015   0.049985   2.250003	  0.292015   0.049985   2.000002	  0.190606   0.047309   1.999993	
  0.292015   0.049985   2.250003	  0.393453   0.048553   2.249998	  0.393453   0.048553   1.999998	  0.292015   0.049985   2.000002	
